Paint Category,Part Number,Unit,Qty,Gallons,VOC Total
Clean-up solvents,,,,,
,FP.5000,55.00 55GAL,14,770,"4,526.20"
,FP.5000,5.00 5GAL,19,95,579.5
,FS.5700,53.00 53GAL,17,901,"5,496.10"
,FS.5700,5.00 5GAL,66,330,"2,013.00"
,GROW.1500,55.00 55GAL,2,110,646.6
,GROW.1500,5.00 5GAL,1,5,30.5
,ICI.P980-8212,5.00 5GAL,59,295,50.15
,KS.11131,1.00 EACH,24,24,9.55
,KS.CGC111,5.00 5GAL,70,350,"1,606.50"
,PPG.SWX100,5.00 5GAL,33,165,28.05
Clean-up solvents(Max allowed: 450.0),,,,"3,045.00","14,986.15"
Primer sealer,,,,,
,PPG.D8081,1.00 QUART,150,37.5,45.38
,PPG.D8085,1.00 GALLON,111,111,137.64
,PPG.D8087,1.00 GALLON,86,86,105.78
,PPG.ECS61,1.00 GALLON,30,30,71.1
,PPG.ECS65,1.00 GALLON,81,81,196.02
,PPG.ECS67,1.00 GALLON,79,79,193.55
Primer sealer(Max allowed: 450.0),,,,424.5,749.47
Primer / Primer surfacer,,,,,
,ICI.P565-9880,1.00 QUART,3,0.75,2.9
,ICI.P950-5505,2.00 2LITER,6,3.17,0.96
,PPG.D8005,1.00 GALLON,153,153,642.6
,PPG.DPX171,1.00 QUART,3,0.75,3.95
,PPG.ECP15,1.00 GALLON,91,91,123.76
,PPG.JP202,1.00 GALLON,1,1,3.82
,PPG.SU4903,1.00 QUART,825,206.25,"1,429.31"
,PPG.SUA4903,1.00 AERO,78,7.31,41.75
,PPG.SX1071,1.00 QUART,2,0.5,1.93
,SEM.39673,1.00 AERO,3,0.28,1.82
,SEM.39683,1.00 AERO,198,18.56,139.31
,SEM.39783,1.00 AERO,12,1.13,3.53
,TRE.4603,1.00 EACH,554,554,299.49
,URE.3601-1,1.00 GALLON,60,60,378
"Primer / Primer surfacer(Max allowed: 1,575.0)",,,,"1,097.70","3,073.15"
Specialty coatings,,,,,
,3M.5917,1.00 EACH,40,40,8.8
,KS.AR343,1.00 GALLON,11,11,112.64
,PPG.D885,1.00 PINT,7,0.88,7.01
,PPG.D895,1.00 GALLON,201,201,"1,149.72"
,PPG.JX994,1.00 PINT,7,0.88,6.26
,PPG.JX995,1.00 PINT,3,0.38,2.71
,PPG.SU4985,1.00 QUART,14,3.5,19.53
,PPG.T510,1.00 LITER,15,3.96,3.6
,SEM.39143,1.00 EACH,305,305,253.7
,SEM.40783,1.00 CAN,129,12.09,41.93
,SEM.61093,1.00 EACH,15,15,9.62
,SEM.62213,1.00 EACH,84,84,43.08
,SEM.62223,1.00 EACH,222,222,113.84
,SEM.62233,1.00 EACH,68,68,34.87
,SEM.62243,1.00 EACH,108,108,55.38
,SEM.62263,1.00 EACH,40,40,20.51
Specialty coatings(Max allowed: 450.0),,,,"1,115.68","1,883.19"
Surface cleaners,,,,,
,3M.8987,1.00 EACH,147,147,105.84
,FP.6000,1.00 GALLON,164,164,"1,049.93"
,PPG.DX103,1.00 GALLON,146,146,947.54
,PPG.SWX350,1.00 GALLON,9,9,1.44
,SEM.39913,1.00 EACH,4,6,2.04
Surface cleaners(Max allowed: 450.0),,,,472,"2,106.79"
Topcoats,,,,,
,3M.5911,1.00 CAN,29,2.72,26.13
,ICI.P275-9090,1.00 QUART,3,0.75,0.71
,ICI.P991-8920,1.00 LITER,1,0.26,0.22
,ICI.P991-8979,1.00 LITER,2,0.53,0.33
,ICI.P992-8960,0.50 .5LTR,1,0.13,0.11
,PPG.ALK-FP951,1.00 GALLON,5,5,22.05
,PPG.D700,1.00 GALLON,5,5,18.85
,PPG.D721,1.00 GALLON,2,2,8.34
,PPG.D740,1.00 GALLON,102,102,592.62
,PPG.D741,1.00 QUART,11,2.75,16.25
,PPG.D743,1.00 QUART,1,0.25,1.52
,PPG.D744,1.00 QUART,2,0.5,3.04
,PPG.D746,1.00 QUART,7,1.75,10.64
,PPG.D747,1.00 QUART,1,0.25,1.45
,PPG.D748,1.00 QUART,94,23.5,141.71
,PPG.D749,1.00 QUART,4,1,5.75
,PPG.D750,1.00 QUART,2,0.5,2.89
,PPG.D751,1.00 QUART,72,18,104.4
,PPG.D752,1.00 QUART,78,19.5,111.93
,PPG.D753,1.00 GALLON,178,178,959.42
,PPG.D754,1.00 QUART,96,24,143.28
,PPG.D756,1.00 QUART,8,2,11.48
,PPG.D757,1.00 QUART,7,1.75,10.57
,PPG.D759,1.00 QUART,112,28,168.28
,PPG.D760,1.00 QUART,10,2.5,14.38
,PPG.D761,1.00 QUART,14,3.5,20.23
,PPG.D762,1.00 QUART,3,0.75,4.07
,PPG.D763,1.00 QUART,53,13.25,76.98
,PPG.D764,1.00 QUART,1,0.25,1.39
,PPG.D765,1.00 QUART,4,1,5.79
,PPG.D767,1.00 QUART,26,6.5,39.46
,PPG.D768,1.00 GALLON,42,42,255.36
,PPG.D768,1.00 QUART,4,1,6.08
,PPG.D769,1.00 QUART,18,4.5,27.14
,PPG.D770,1.00 GALLON,30,30,181.8
,PPG.D771,1.00 GALLON,90,90,547.2
,PPG.D772,1.00 GALLON,26,26,157.82
,PPG.D776,1.00 QUART,26,6.5,38.22
,PPG.D777,1.00 QUART,12,3,17.4
,PPG.D778,1.00 QUART,2,0.5,2.82
,PPG.D779,1.00 QUART,8,2,11.58
,PPG.D780,1.00 QUART,1,0.25,1.4
,PPG.D789,1.00 QUART,426,106.5,628.35
,PPG.D790,1.00 QUART,18,4.5,25.88
,PPG.D792,1.00 QUART,5,1.25,6.64
,PPG.D793,1.00 QUART,41,10.25,59.14
,PPG.D794,1.00 QUART,8,2,10.76
,PPG.D797,1.00 QUART,7,1.75,10.26
,PPG.D8113,1.00 LITER,1,0.26,1.18
,PPG.D8239,0.50 .5LTR,1,0.13,0.54
,PPG.D8291,1.00 QUART,500,125,533.75
,PPG.D884,1.00 GALLON,9,9,12.96
,PPG.D884,1.00 QUART,1,0.25,0.36
,PPG.D894,1.00 GALLON,11,11,44.33
,PPG.D942,1.00 QUART,3,0.75,4.37
,PPG.D943,1.00 QUART,5,1.25,7.26
,PPG.D944,1.00 QUART,17,4.25,25.84
,PPG.D946,1.00 QUART,127,31.75,192.4
,PPG.D952,1.00 GALLON,103,103,621.09
,PPG.D953,1.00 QUART,42,10.5,63.11
,PPG.D954,1.00 QUART,8,2,11.58
,PPG.D955,1.00 QUART,2,0.5,2.89
,PPG.D956,1.00 QUART,86,21.5,123.84
,PPG.D957,1.00 QUART,24,6,34.86
,PPG.D958,1.00 QUART,67,16.75,97.82
,PPG.D959,1.00 QUART,4,1,5.7
,PPG.D960,1.00 QUART,10,2.5,14.48
,PPG.D964,1.00 QUART,1,0.25,1.47
,PPG.D965,1.00 QUART,2,0.5,2.91
,PPG.D966,1.00 QUART,25,6.25,35.31
,PPG.D967,1.00 QUART,17,4.25,24.95
,PPG.D968,1.00 QUART,1,0.25,1.42
,PPG.D969,1.00 QUART,10,2.5,14.28
,PPG.D971,1.00 QUART,1,0.25,1.44
,PPG.D976,1.00 QUART,45,11.25,67.95
,PPG.D977,1.00 QUART,34,8.5,50.66
,PPG.D978,1.00 QUART,83,20.75,122.63
,PPG.D979,1.00 QUART,21,5.25,31.87
,PPG.D980,1.00 QUART,19,4.75,28.36
,PPG.D981,1.00 QUART,41,10.25,58.94
,PPG.D983,1.00 QUART,5,1.25,7.56
,PPG.D985,1.00 QUART,2,0.5,3
,PPG.D989,1.00 QUART,147,36.75,222.34
,PPG.D991,1.00 QUART,2,0.5,2.89
,PPG.DC2000,1.00 GALLON,2,2,5.52
,PPG.DC3000,1.00 GALLON,"1,755.00","1,755.00","6,054.75"
,PPG.DC4000,1.00 GALLON,469,469,"2,016.70"
,PPG.DCH3095,1.00 QUART,827,206.75,545.82
,PPG.DCH3098,8.00 8OZ,3,0.19,0.5
,PPG.DCH3098,1.00 QUART,"1,425.00",356.25,940.5
,PPG.DCU2021,1.00 GALLON,1,1,4.03
,PPG.DCX61,1.00 QUART,1,0.25,0.36
,PPG.DGB,1.00 QUART,1,0.25,1.08
,PPG.DPX172,1.00 QUART,4,1,6.71
,PPG.DT860,1.00 GALLON,60,60,212.4
,PPG.DT870,1.00 GALLON,17,17,117.47
,PPG.DT885,1.00 GALLON,24,24,168.96
,PPG.DT895,1.00 GALLON,"1,251.00","1,251.00","8,757.00"
,PPG.DT898,1.00 GALLON,65,65,457.6
,PPG.DX840,1.00 GALLON,8,8,55.76
,PPG.ECH7080,1.00 QUART,1,0.25,0.57
,PPG.ECH7090,1.00 QUART,1,0.25,0.59
,PPG.EH391,1.00 QUART,235,58.75,16.45
,PPG.EH392,1.00 QUART,115,28.75,30.76
,PPG.JBA,1.00 QUART,2,0.5,2.63
,PPG.JC60,1.00 GALLON,246,246,801.96
,PPG.JC630,1.00 GALLON,1,1,3.54
,PPG.JC661,1.00 GALLON,19,19,75.05
,PPG.JC6700,5.00 5LITER,24,31.7,127.92
,PPG.JH301,1.00 QUART,1,0.25,1.28
,PPG.JH63,1.00 QUART,114,28.5,62.7
,PPG.JH6380,1.00 QUART,1,0.25,0.82
,PPG.JH64,1.00 QUART,141,35.25,76.49
,PPG.JH6670,1.00 QUART,6,1.5,6.63
,PPG.JH6680,1.00 QUART,29,7.25,32.05
,PPG.JH6690,1.00 QUART,2,0.5,2.21
,PPG.JH6710,2.50 2.5LTR,20,13.21,50.58
,PPG.JH6720,2.50 2.5LTR,1,0.66,2.53
,PPG.PRLX1,4.00 4OZ,21,0.66,1.59
,PPG.PRLX2,4.00 4OZ,75,2.34,5.39
,PPG.PRLX3,4.00 4OZ,7,0.22,0.5
,PPG.PRLX4,4.00 4OZ,52,1.63,3.67
,PPG.PRLX5,4.00 4OZ,4,0.13,0.29
,PPG.PRLX6,4.00 4OZ,122,3.81,8.81
,PPG.PRLX7,4.00 4OZ,3,0.09,0.23
,PPG.PRLX8,4.00 4OZ,1,0.03,0.07
,PPG.PRLX9,4.00 4OZ,1,0.03,0.07
,PPG.SX1072,1.00 QUART,2,0.5,0.47
,PPG.SXA840,1.00 AERO,47,4.41,27.01
,PPG.T400,2.00 2LITER,114,60.23,54.8
,PPG.T4000,1.00 PINT,15,1.88,1.59
,PPG.T4001,1.00 PINT,3,0.38,0.32
,PPG.T4002,1.00 PINT,6,0.75,0.63
,PPG.T4003,1.00 PINT,12,1.5,1.26
,PPG.T4004,1.00 PINT,4,0.5,0.38
,PPG.T4005,1.00 PINT,5,0.63,0.47
,PPG.T4006,1.00 PINT,3,0.38,0.29
,PPG.T401,1.00 PINT,9,1.13,0.95
,PPG.T402,1.00 PINT,14,1.75,1.73
,PPG.T403,1.00 PINT,2,0.25,0.19
,PPG.T404,1.00 PINT,26,3.25,2.7
,PPG.T4040,1.00 PINT,3,0.38,0.34
,PPG.T405,1.00 PINT,1,0.13,0.11
,PPG.T406,1.00 LITER,3,0.79,0.76
,PPG.T407,2.00 2LITER,147,77.67,55.9
,PPG.T407,1.00 LITER,11,2.91,2.09
,PPG.T409,2.00 2LITER,102,53.89,25.87
,PPG.T411,1.00 LITER,7,1.85,1.5
,PPG.T412,1.00 LITER,57,15.06,11.9
,PPG.T413,1.00 LITER,4,1.06,0.89
,PPG.T414,2.00 2LITER,2,1.06,0.9
,PPG.T414,1.00 LITER,24,6.34,5.39
,PPG.T415,1.00 PINT,10,1.25,1.1
,PPG.T420,1.00 LITER,3,0.79,0.54
,PPG.T421,1.00 PINT,3,0.38,0.26
,PPG.T422,1.00 PINT,8,1,0.87
,PPG.T423,1.00 PINT,16,2,1.92
,PPG.T425,1.00 PINT,2,0.25,0.18
,PPG.T426,1.00 PINT,4,0.5,0.42
,PPG.T427,1.00 LITER,1,0.26,0.1
,PPG.T428,1.00 PINT,5,0.63,0.43
,PPG.T4281,0.50 .5LTR,2,0.26,0.22
,PPG.T429,1.00 PINT,47,5.88,4.53
,PPG.T430,1.00 LITER,7,1.85,1.52
,PPG.T431,1.00 LITER,3,0.79,0.65
,PPG.T432,1.00 LITER,6,1.59,1.27
,PPG.T433,1.00 PINT,2,0.25,0.21
,PPG.T4341,0.50 .5LTR,1,0.13,0.11
,PPG.T435,1.00 LITER,6,1.59,1.41
,PPG.T436,1.00 PINT,6,0.75,0.64
,PPG.T438,1.00 LITER,5,1.32,1.07
,PPG.T439,1.00 LITER,1,0.26,0.18
,PPG.T440,1.00 PINT,33,4.13,3.63
,PPG.T441,1.00 PINT,4,0.5,0.41
,PPG.T442,1.00 PINT,5,0.63,0.52
,PPG.T443,1.00 LITER,25,6.6,5.55
,PPG.T444,1.00 LITER,7,1.85,1.66
,PPG.T445,1.00 LITER,2,0.53,0.38
,PPG.T445,1.00 PINT,14,1.75,1.33
,PPG.T447,1.00 LITER,7,1.85,1.28
,PPG.T448,2.00 2LITER,5,2.64,1.64
,PPG.T448,1.00 LITER,24,6.34,3.93
,PPG.T451,1.00 PINT,7,0.88,0.75
,PPG.T452,1.00 PINT,11,1.38,1.18
,PPG.T453,1.00 LITER,20,5.28,4.33
,PPG.T454,1.00 LITER,6,1.59,1.33
,PPG.T455,1.00 PINT,17,2.13,1.74
,PPG.T456,1.00 LITER,28,7.4,6.06
,PPG.T457,1.00 PINT,31,3.88,3.18
,PPG.T458,1.00 PINT,1,0.13,0.1
,PPG.T459,1.00 LITER,2,0.53,0.44
,PPG.T460,1.00 LITER,10,2.64,2.1
,PPG.T460,1.00 PINT,24,3,2.46
,PPG.T461,1.00 PINT,1,0.13,0.1
,PPG.T462,1.00 LITER,4,1.06,0.89
,PPG.T465,1.00 PINT,29,3.63,2.97
,PPG.T466,1.00 PINT,3,0.38,0.3
,PPG.T468,1.00 PINT,48,6,4.92
,PPG.T471,2.00 2LITER,23,12.15,10.21
,PPG.T472,2.00 2LITER,19,10.04,8.83
,PPG.T472,1.00 LITER,94,24.83,21.85
,PPG.T473,2.00 2LITER,92,48.61,43.74
,PPG.T474,1.00 LITER,34,8.98,7.81
,PPG.T475,2.00 2LITER,64,33.81,30.09
,PPG.T476,2.00 2LITER,52,27.47,23.62
,PPG.T477,1.00 LITER,3,0.79,0.68
,PPG.T479,1.00 LITER,52,13.74,10.3
,PPG.T489,1.00 PINT,7,0.88,0.82
,PPG.T490,2.00 2LITER,65,34.34,31.25
,PPG.T490,1.00 LITER,8,2.11,1.92
,PPG.T491,1.00 LITER,51,13.47,8.22
,PPG.T492,2.00 2LITER,1,0.53,0.16
,PPG.T494,1.00 GALLON,145,145,24.65
,PPG.T581,1.00 PINT,15,1.88,5.63
,PPG.T588,1.00 QUART,1,0.25,0.67
,SEM.39803,1.00 AERO,30,2.81,16.64
,SEM.40903,1.00 EACH,53,53,35.74
"Topcoats(Max allowed: 2,880.0)",,,,"6,702.34","28,200.95"
,,,,,
Grand Total,,,,"12,857.22","5,099.69"
